
DisplayName                                                                         DisplayVersion
Microsoft Visual Studio Connected Services                                          14.0.24720
Python 3.6.4 Development Libraries (32-bit)                                         3.6.4150.0
Visual C++ Compiler/Tools Premium X86 X64 Cross Package                             14.0.23506
Visual C++ Library PGO ARM Package                                                  14.0.23506
Visual C++ IDE Professional Core Package                                            14.0.24720
Visual C++ IDE Core Professional Plus Resource Package                              14.0.24720
Launcher Prerequisites (x64)                                                        1.0.0.0
Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.10.25008                         14.10.25008
Visual C++ IDE Core Professional Plus Resource Package                              14.0.24720
Microsoft .NET Core 5.0 SDK                                                         1.0.23224
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030                        11.0.61030.0
Microsoft .NET Framework 4.6.1 Developer Pack                                       4.6.1055
Visual C++ IDE Core Package                                                         14.0.24720
Visual C++ Compiler/Tools X86 Base Resource Package                                 14.0.23506
Microsoft Agents for Visual Studio 2015 Preview                                     14.0.23102
Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23506                            14.0.23506
TypeScript Power Tool                                                               1.7.6.0
Visual C++ IDE Optional XP Support Package                                          14.0.23107
Microsoft .NET Framework 4 Multi-Targeting Pack                                     4.0.30319
Update for  (KB2504637)                                                             1
Python 3.6.4 Utility Scripts (32-bit)                                               3.6.4150.0
Python 3.6.4 Test Suite (32-bit)                                                    3.6.4150.0
Python 3.6.4 Core Interpreter (32-bit)                                              3.6.4150.0
Microsoft Visual Studio 2015 Windows Diagnostic Tools                               14.0.24720
Application Insights Tools for Visual Studio 2015                                   4.3.60226.3
Visual C++ IDE Debugger Resource Package                                            14.0.24720
Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)                           4.5.50932
Apple Application Support (32-bit)                                                  6.3
Visual C++ Compiler/Tools Premium X64 ARM Cross Resource Package                    14.0.23506
Microsoft Visual Studio Premium 2015 - ENU                                          14.0.23107
Visual C++ IDE Core Professional Plus Resource Package                              14.0.24720
Microsoft Visual Studio Services Hub                                                1.0.24720.00
WCF Data Services 5.6.4 Runtime                                                     5.6.62175.4
Visual C++ IDE Core Professional Plus Resource Package                              14.0.24720
Microsoft Visual Studio Community 2015                                              14.0.23107
Microsoft Visual Studio 2015 XAML Designer                                          14.0.24720
Visual C++ Library MFC X64 Package                                                  14.0.23506
Python 3.6.4 Documentation (32-bit)                                                 3.6.4150.0
Visual C++ MSBuild Base Resource Package                                            14.0.24720
Visual C++ Library CRT X64 Desktop Package                                          14.0.23506
Microsoft Visual Studio 2015 Test Tools Language Pack - ENU                         14.0.23107
Visual C++ Professional Templates Package                                           14.0.24720
Microsoft Visual C++ 2017 x86 Additional Runtime - 14.10.25008                      14.10.25008
Visual C++ IDE Base Resource Package                                                14.0.23107
Visual C++ Compiler/Tools X86 ARM Cross Resource Package                            14.0.23506
Visual C++ Library PGO X86 Package                                                  14.0.23506
Visual C++ Compiler/Tools X64 ARM Cross Resource Package                            14.0.23506
Visual C++ Library PGO Headers Package                                              14.0.23506
Visual C++ IDE Core Professional Plus Resource Package                              14.0.24720
Visual C++ Compiler/Tools X86 Base Package                                          14.0.23506
Visual C++ IDE Desktop Plus Package                                                 14.0.23107
Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package                    14.0.23506
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                         10.0.40219







Intel(R) Processor Graphics                                                         20.19.15.4331
Microsoft Visual C++ 2017 Redistributable (x64) - 14.10.25008                       14.10.25008.0
Visual C++ IDE Common Resource Package                                              14.0.24720
Microsoft Visual Studio 2015 Update 1 Diagnostic Tools - x86                        14.0.24720
Windows XP Targeting with C++                                                       11.0.51106
Windows App Certification Kit x64                                                   8.100.26795
Microsoft Visual Studio 2015 Team Explorer Language Pack - ENU                      14.0.24712
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501                        12.0.30501.0
TypeScript Tools for Microsoft Visual Studio 2015                                   1.7.6.0
Visual C++ Compiler/Tools Premium X64 Native Resource Package                       14.0.23506
Microsoft ASP.NET and Web Tools 2015.1 (Beta8) - Visual Studio 2015                 14.1.11106.0
Microsoft VisualStudio JavaScript Project System                                    14.0.24720
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005                       12.0.21005
Visual C++ IDE Core Professional Plus Resource Package                              14.0.24720
Microsoft Visual Studio Enterprise 2015 with Updates                                14.0.24720.41
Visual C++ IDE Professional Plus Resource Package                                   14.0.23107
Microsoft Visual Studio 2015 Update 1 Diagnostic Tools - ENU                        14.0.24720
Visual C++ IDE Debugger Package                                                     14.0.24720
MSBuild/NuGet Integration 14.0 (x86)                                                14.0.24720
Microsoft Visual Studio 2015 Devenv                                                 14.0.23107
Windows Espc Resource Package                                                       14.0.23107
Visual Studio 2015 Update 1 (KB3022398)                                             14.0.24720
Visual C++ Compiler/Tools Premium X86 ARM Cross Package                             14.0.23506
Visual C++ Library CRT Source Package                                               14.0.23506
